Comune,Cratere Centro Italia 2016,Variaz,Variaz_init,Variaz_end
Crognaleto,1,-20.223178169935206,-16.434818855227366,-21.412799406193045
Cugnoli,0,11.246167298967347,-7.099001842883168,17.00692043269459
Cupra Marittima,0,-13.282280804615656,-8.180384085570779,-14.884379279965323
Cupramontana,0,-7.823929402458746,3.9505072485455797,-11.521340001983162
Deruta,0,1.248652868933685,-0.8226313792403538,1.8990779007905925
Elice,0,0.43164345718840835,3.4178589856032144,-0.5060884508841123
Esanatoglia,1,2.4507136042940636,0.7304813255631202,2.990901237006097
Fabriano,1,4.067946994492685,3.8734390787209727,4.129026403281571
Fabrica di Roma,0,22.16379363837832,3.069858505786696,28.159674395854235
Fabro,0,20.452605143264353,6.0465600632772984,24.976393869192716
Fagnano Alto,0,-18.33503851626441,-4.214131073052211,-22.769288273001788
Falconara Marittima,0,-7.386299542168056,-1.3365142105000967,-9.286054160852803
Faleria,0,-13.492657747880846,5.4174381814716215,-19.43080928749163
Falerone,1,2.7487281208536816,2.8583330152256297,2.7143099732834512
Fano,0,-18.672793373268316,-2.1157041782425368,-23.872053338010478
Fano Adriano,0,-26.634729246487854,-18.100054181867208,-29.314789361697898
Fara Filiorum Petri,0,3.2571615204555036,-13.407507025105723,8.490203571147866
Fara in Sabina,0,-17.087695349370353,-1.7985662699413583,-21.88879026298182
Farindola,0,45.629607281167424,10.229501562265934,56.745954499204785
Ferentillo,1,-14.619279715167021,-0.40186392076156713,-19.083835040758455
Fermignano,0,4.698059787719024,2.2639960200854112,5.462404905971373
Fermo,0,-8.556957700801767,-5.017226486470237,-9.668504698697438
Fiamignano,0,26.606589919850453,18.011419980192166,29.305646646007716
Fiano Romano,0,25.518614158517217,5.365287583760317,31.847165196823283
Fiastra,1,-30.978126150546213,-11.853611331754884,-36.983609546282956
Ficulle,0,-2.3255404085969054,1.9925238174626239,-3.6814996711997416
Filacciano,0,-8.971668896535737,2.593782573748385,-12.603453934070105
Filetto,0,3.174749571087233,-1.763862837173639,4.725573479396167
Filottrano,0,17.83517384218582,16.09254911666329,18.382393154847374
Fiordimonte,1,-41.74019981735515,-8.227923041536265,-52.26373066963925
Fiuminata,1,-8.286809756625166,0.33847188595767225,-10.995322164855653
Foiano della Chiana,0,-28.410219808673336,-6.504895396125749,-35.28893350594947
Folignano,1,3.216922307109111,-4.614169678999157,5.676043144352479
Foligno,0,-2.093290797461407,0.6185934348184048,-2.94487714526847
Fontecchio,0,-15.639183313423418,-7.877948492724274,-18.076367591705036
Forano,0,-11.544068056268507,-2.133588250256634,-14.499148525310785
Force,1,-22.11136797227389,-6.323199379889897,-27.069171358610816
Fossa,0,-9.263989906021012,5.073994291171583,-13.766406141959674
