Comune,Cratere Centro Italia 2016,Ricavi delle vendite migl EUR Ultimo anno disp.,Dipendenti Ultimo anno disp.,Stato giuridico,ateco2,ComuneOP,costituzione,ubilancio
Fabriano,1.0,72.0,0,Cessata,41,Fabriano,2009,2010
Fabriano,1.0,70.0,2,Cessata (In liquidazione),74,Fabriano,2004,2018
Fabriano,1.0,69.0,3,Cessata,82,Fabriano,1997,2010
Fabriano,1.0,66.0,0,In liquidazione,68,Fabriano,2012,2020
Fabriano,1.0,66.0,1,Cessata (In liquidazione),49,Fabriano,2010,2019
Fabriano,1.0,64.0,21,In liquidazione,81,Fabriano,2011,2017
Fabriano,1.0,63.0,0,Cessata (In liquidazione),46,Fabriano,1992,2011
Fabriano,1.0,61.0,3,Fallita,56,Fabriano,1984,2009
Fabriano,1.0,58.0,1,In liquidazione,47,Fabriano,2012,2013
Fabriano,1.0,58.0,1,Cessata (In liquidazione),62,Fabriano,2001,2017
Fabriano,1.0,56.0,0,Cessata (Fusione),68,Fabriano,1977,2011
Fabriano,1.0,55.0,0,Cessata (Chiusura per fallimento),46,Fabriano,2000,2008
Fabriano,1.0,52.0,0,Cessata (In liquidazione),62,Fabriano,2013,2018
Fabriano,1.0,46.0,5,Fallita,10,Fabriano,2010,2013
Fabriano,1.0,45.0,0,In liquidazione,71,Fabriano,1980,2016
Fabriano,1.0,40,0,Fallita,68,Fabriano,1993,2009
Fabriano,1.0,34,0,Cessata,41,Fabriano,1993,2011
Fabriano,1.0,34,0,Cessata (In liquidazione),70,Fabriano,2014,2019
Fabriano,1.0,33,0,In liquidazione,41,Fabriano,2006,2020
Fabriano,1.0,33,2,In liquidazione,81,Fabriano,2013,2017
Fabriano,1.0,32,3,In liquidazione,01,Fabriano,2006,2020
Fabriano,1.0,32,0,Cessata,46,Fabriano,2005,2008
Fabriano,1.0,30,0,Cessata,27,Fabriano,1996,2008
Fabriano,1.0,30,0,Cessata (Fusione),68,Fabriano,1989,2015
Fabriano,1.0,26,0,Cessata (In liquidazione),70,Fabriano,2013,2017
Fabriano,1.0,26,0,In liquidazione,68,Fabriano,1995,2020
Fabriano,1.0,25,0,In liquidazione,43,Fabriano,2010,2010
Fabriano,1.0,24,0,In liquidazione,27,Fabriano,2008,2008
Fabriano,1.0,23,0,Cessata (In liquidazione),70,Fabriano,1976,2015
Fabriano,1.0,23,2,In liquidazione,46,Fabriano,2013,2020
Fabriano,1.0,20,0,In liquidazione,68,Fabriano,2006,2015
Fabriano,1.0,20,2,Cessata (In liquidazione),82,Fabriano,2011,2015
Fabriano,1.0,18,1,Fallita,47,Fabriano,2005,2008
Fabriano,1.0,17,3,Cessata (In liquidazione),56,Fabriano,1995,2013
Fabriano,1.0,16,0,In liquidazione,68,Fabriano,1990,2019
Fabriano,1.0,16,0,Cessata,46,Fabriano,2004,2008
Fabriano,1.0,15,0,In liquidazione,60,Fabriano,2003,2016
Fabriano,1.0,15,1,Cessata (In liquidazione),72,Fabriano,2014,2015
Fabriano,1.0,15,0,In liquidazione,70,Fabriano,2009,2020
Fabriano,1.0,13,0,Cessata (In liquidazione),46,Fabriano,2008,2013
Fabriano,1.0,13,2,Cessata (In liquidazione),82,Fabriano,2004,2017
Fabriano,1.0,12,0,In liquidazione,47,Fabriano,2000,2013
Fabriano,1.0,12,0,Fallita,68,Fabriano,2000,2003
Fabriano,1.0,12,0,In liquidazione,68,Fabriano,2005,2017
Fabriano,1.0,10,6,In liquidazione,14,Fabriano,2013,2020
Fabriano,1.0,10,0,Cessata (Chiusura per fallimento),70,Fabriano,2009,2009
Fabriano,1.0,10,0,Cessata,47,Fabriano,2007,2007
Fabriano,1.0,9,0,In liquidazione,46,Fabriano,1997,2020
Fabriano,1.0,8,0,Cessata (In liquidazione),74,Fabriano,2001,2015
Fabriano,1.0,8,0,In liquidazione,46,Fabriano,1990,2020
Fabriano,1.0,8,1,Cessata (In liquidazione),63,Fabriano,2013,2016
Fabriano,1.0,6,1,Cessata,88,Fabriano,1992,2008
Fabriano,1.0,5,0,Cessata (In liquidazione),56,Fabriano,2006,2012
Fabriano,1.0,5,0,In liquidazione,47,Fabriano,1972,2015
Fabriano,1.0,5,0,In liquidazione,91,Fabriano,2014,2017
Fabriano,1.0,4,0,Cessata (In liquidazione),68,Fabriano,2000,2012
Fabriano,1.0,4,0,Cessata,77,Fabriano,1999,2007
Fabriano,1.0,4,0,Cessata,46,Fabriano,2008,2009
Fabriano,1.0,4,0,Fallita,46,Fabriano,2000,2016
Fabriano,1.0,3,1,Cessata (In liquidazione),68,Fabriano,1997,2014
Fabriano,1.0,3,0,Cessata (In liquidazione),68,Fabriano,1984,2015
Fabriano,1.0,3,0,Cessata (In liquidazione),17,Fabriano,2007,2015
Fabriano,1.0,2,0,Cessata (In liquidazione),46,Fabriano,2006,2010
Fabriano,1.0,2,0,Cessata (In liquidazione),46,Fabriano,2006,2010
Fabriano,1.0,2,0,In liquidazione,56,Fabriano,2013,2014
Fabriano,1.0,2,0,Cessata (In liquidazione),68,Fabriano,1997,2007
Fabriano,1.0,2,0,Cessata,41,Fabriano,1993,2008
Fabriano,1.0,1,0,Cessata (In liquidazione),27,Fabriano,1994,2011
Fabriano,1.0,1,0,Cessata (In liquidazione),68,Fabriano,2002,2012
Fabriano,1.0,1,0,Cessata (In liquidazione),47,Fabriano,1935,2012
Fabriano,1.0,1,0,Cessata (In liquidazione),14,Fabriano,2013,2016
Fabriano,1.0,0,0,In liquidazione,68,Fabriano,1974,2015
Fabriano,1.0,0,0,Cessata (In liquidazione),27,Fabriano,2010,2017
Fabriano,1.0,0,0,Cessata (Fusione),41,Fabriano,1996,2005
Fabriano,1.0,0,4,In liquidazione,60,Fabriano,2012,2017
Fabriano,1.0,0,1,In liquidazione,32,Fabriano,2013,2014
Fabriano,1.0,0,7,Fallita,27,Fabriano,2014,2017
Fabriano,1.0,0,0,Cessata (Chiusura per fallimento),28,Fabriano,2013,2014
Fabriano,1.0,0,0,Cessata (In liquidazione),62,Fabriano,2013,2017
Fabriano,1.0,0,0,In liquidazione,70,Fabriano,2005,2014
Fabriano,1.0,0,1,Cessata (In liquidazione),41,Fabriano,2012,2014
