Comune,Cratere Centro Italia 2016,media_prima,media_dopo,varPhones,Variaz,Variaz_init,Variaz_end
Arrone,1.0,2807.1710470497496,3393.2359516274864,0.20877420533161775,6.7596080224581065,-1.165645310239236,9.248297421770618
Arsita,0.0,1117.0827034323179,1128.3089172694395,0.010049581649262153,-12.607910484233148,-1.9639436898554368,-15.950330747130485
Ascoli Piceno,1.0,49045.68945237177,56735.39413426763,0.1567865548992502,-1.4010261110831157,3.530013125011118,-2.949471890580368
Ascrea,0.0,350.3102583879676,316.90476943942133,-0.09535972227096418,-21.08428171814321,-19.434692555594417,-21.602285987498067
Assisi,0.0,44963.84714616275,51809.58143083183,0.1522497454992194,2.761683500797573,2.187809144607477,2.941891623722206
Atri,0.0,9143.62564596992,10833.198451627488,0.18478149380516823,5.014781134279324,-3.090025961809758,7.55985403690724
Attigliano,0.0,1306.570227535673,1406.4136980108499,0.07641645919292991,34.035955786184275,3.83915246328191,43.5183611009498
Avigliano Umbro,0.0,3240.6250096413423,3839.109154611211,0.18468170281636698,-0.5459806984349144,-2.498545889585222,0.0671641549458746
Badia Tedalda,0.0,2489.055302738141,2984.0824028028933,0.19888151923349653,9.13014047140028,5.777404148523631,10.182967301680709
Bagnoregio,0.0,3032.8389703046664,3854.1981238698013,0.2708218806231656,0.2617257171926554,8.301911664469905,-2.263054841295827
Barbara,0.0,1561.7318839182415,1700.8139579566005,0.08905630695674528,-0.4941996447338638,-3.7294147116042855,0.5217231407496699
Barbarano Romano,0.0,2548.638015811801,2792.6165235081376,0.09572897609730734,-4.490282959170993,1.685968715672504,-6.429750560446756
Barchi,0.0,1423.435287311994,1478.7718128390597,0.038875336322147035,-12.162712771124715,1.6102845789222855,-16.48771174124033
Barete,0.0,1319.5777767065174,1411.658137432188,0.0697801693474183,-12.002060511586691,-3.5399201422423183,-14.659343269450822
Barisciano,0.0,3406.352188584651,3860.8960782097647,0.13344007444338227,-3.078344264795784,1.7396460535396243,-4.5912904039131766
Baschi,0.0,3659.2647898187424,3746.6048259493673,0.02386819242314278,16.468374343858297,-7.14700145538927,23.884078668399525
Basciano,0.0,1683.105794446587,1831.2722875226038,0.08803159823042182,-1.2213754876290606,2.4673250090034933,-2.379701844886821
Bassano Romano,0.0,4086.2349402236787,4960.070140144666,0.21384849689361077,14.071471275208031,20.16363964248502,12.15840752847362
Bassano in Teverina,0.0,1034.1596413420748,1241.0596518987343,0.20006583344149476,8.355643963427175,-3.704116244922455,12.142651914951626
Bastia Umbra,0.0,24080.02588700347,26148.757255877033,0.08591067877506327,2.50750244361781,3.9231261518873706,2.0629680460041766
Belforte all'Isauro,0.0,882.7701600462784,1062.4897716998191,0.20358596131536558,-0.7514359345546836,-10.071902089107796,2.175378432348695
Belforte del Chienti,1.0,2617.982259930582,3143.000384267631,0.2005430412469526,-6.873009673175959,3.5779802131405534,-10.154831294586003
Bellante,0.0,4110.323515233321,5356.410047468355,0.3031602080996537,0.6551618384962771,2.8534248985272845,-0.0351371014541329
Belmonte Piceno,1.0,1359.6758580794447,1316.7873417721519,-0.031543191748563675,-2.53393920775731,2.0958762608489705,-3.987794648561489
Belmonte in Sabina,0.0,817.8385557269572,1037.7510962929475,0.26889480695919904,45.33850878530373,10.618150890948256,56.24140147587839
Belvedere Ostrense,0.0,3337.837890474354,3573.336415009042,0.07055421271559124,15.64587140924906,6.463607683100515,18.529287426081915
Bettona,0.0,7886.858754338604,8091.2081148282105,0.0259101077950956,-11.447818919172454,-1.3925313778601254,-14.605382022910646
Bevagna,0.0,8951.094311608176,9221.032900090415,0.030157048857386105,-15.299189819392556,1.3117722204376618,-20.515366944021864
Bibbiena,0.0,3628.872512533745,4218.427825497287,0.16246239318887054,-1.6702029929180129,2.165719603913354,-2.8747600591169817
Bisenti,0.0,1879.4152140377942,1756.9607481916817,-0.06515562124402915,-18.418093305246277,-13.022430153361878,-20.112440365794495
Blera,0.0,3861.653355187042,4118.7944281193495,0.06658833646653213,2.31650208371096,2.142537424730921,2.3711304955085324
Bolognano,0.0,1345.4409082144234,1477.6001921338157,0.09822749041783257,-9.38144407988704,3.826621389045979,-13.529043044622169
