Comune,Cratere Centro Italia 2016,media_prima,media_dopo,varPhones,Variaz
Avigliano Umbro,0.0,3240.6250096413423,3839.109154611211,0.18468170281636698,9.743033517590614
Badia Tedalda,0.0,2489.055302738141,2984.0824028028933,0.19888151923349653,16.89163065034346
Bagnoregio,0.0,3032.8389703046664,3854.1981238698013,0.2708218806231656,12.65225229910128
Barbara,0.0,1561.7318839182415,1700.8139579566005,0.08905630695674528,2.4801222764959503
Barbarano Romano,0.0,2548.638015811801,2792.6165235081376,0.09572897609730734,0.763321382085232
Barchi,0.0,1423.435287311994,1478.7718128390597,0.038875336322147035,-6.292920763710623
Barete,0.0,1319.5777767065174,1411.658137432188,0.0697801693474183,-2.9199641694281877
Barisciano,0.0,3406.352188584651,3860.8960782097647,0.13344007444338227,4.661033264785438
Baschi,0.0,3659.2647898187424,3746.6048259493673,0.02386819242314278,11.127072849009984
Basciano,0.0,1683.105794446587,1831.2722875226038,0.08803159823042182,3.2098330248650533
Bassano Romano,0.0,4086.2349402236787,4960.070140144666,0.21384849689361077,10.253482061086698
Bassano in Teverina,0.0,1034.1596413420748,1241.0596518987343,0.20006583344149476,15.677140334583914
Bastia Umbra,0.0,24080.02588700347,26148.757255877033,0.08591067877506327,5.157455964541584
Belforte all'Isauro,0.0,882.7701600462784,1062.4897716998191,0.20358596131536558,15.418432042830704
Belforte del Chienti,1.0,2617.982259930582,3143.000384267631,0.2005430412469526,6.351762890468987
Bellante,0.0,4110.323515233321,5356.410047468355,0.3031602080996537,13.129691511111174
Belmonte Piceno,1.0,1359.6758580794447,1316.7873417721519,-0.031543191748563675,-3.886047396892754
Belmonte in Sabina,0.0,817.8385557269572,1037.7510962929475,0.26889480695919904,35.32165861944976
Belvedere Ostrense,0.0,3337.837890474354,3573.336415009042,0.07055421271559124,14.193225111745711
Bettona,0.0,7886.858754338604,8091.2081148282105,0.0259101077950956,-5.709769860661432
Bevagna,0.0,8951.094311608176,9221.032900090415,0.030157048857386105,-7.355705356150737
Bibbiena,0.0,3628.872512533745,4218.427825497287,0.16246239318887054,6.725621774358984
Bisenti,0.0,1879.4152140377942,1756.9607481916817,-0.06515562124402915,-14.302028822996126
Blera,0.0,3861.653355187042,4118.7944281193495,0.06658833646653213,2.2018679822779634
Bolognano,0.0,1345.4409082144234,1477.6001921338157,0.09822749041783257,-1.609209054617034
Bolognola,1.0,813.2820092556884,708.2489037070524,-0.12914721382409752,-17.76799993760975
Bolsena,0.0,7508.7146355572695,6942.955029385172,-0.07534706452858948,-4.031003358408069
Bomarzo,0.0,2732.3272367913614,2990.5392179023506,0.09450258286566503,1.06232025858206
Borbona,1.0,1054.4168916313151,1080.5498869801086,0.024784310225116374,10.77926722430814
Borgo Pace,0.0,1508.9966640956422,1720.4264918625677,0.1401128529953627,3.182031233800998
Borgo Velino,1.0,1447.308629001157,1495.2308544303796,0.03311126906104028,-2.4185561665718582
Borgorose,0.0,3139.6455264172773,3534.31196880651,0.12570414050518486,13.959695044922649
Bracciano,0.0,2143.7192537601236,2127.085036166365,-0.007759513082033337,2.909346607228401
Brittoli,0.0,590.9254242190513,662.4465528933092,0.12103241076279309,8.122524805859271
Bucchianico,0.0,7476.065927497108,8520.351401446655,0.13968382356135275,2.8426371225909497
Bussi sul Tirino,0.0,1316.100645969919,1385.0777576853527,0.05241021036396501,4.085625259520797
Cagli,0.0,19060.8744504435,20220.872434448465,0.06085754286986415,-0.7591152603450794
Cagnano Amiterno,0.0,1953.923023524875,1920.9108160036164,-0.016895347014082712,-4.113278885426067
Calascio,0.0,818.0031334361743,797.4833408679928,-0.025085224896369662,1.320528583538875
Calcata,0.0,791.5501639028153,869.2817359855335,0.09820170044492839,-0.0446432392990905
Caldarola,1.0,2898.441399922869,3264.1790235081376,0.12618423943123402,3.383960348040185
Calvi dell'Umbria,0.0,1984.9796085615117,2659.7062160940327,0.3399161405096178,30.29558118646892
Camerano,0.0,8158.030399151562,9444.179599909583,0.15765437707755794,2.095460483399315
Camerata Picena,0.0,4022.016814500578,4794.114839511754,0.19196787597394693,14.128462202915838
