Comune,media_prima,Comune,media_dopo,var
Rivodutri,6270.857984829849,Rivodutri,6472.907541478129,3.222040064327224
Campli,15902.18455309553,Campli,19691.26496983409,23.827420717494906
Castelli,8306.297906416563,Castelli,7982.799773755656,-3.8946126939536625
Civitella del Tronto,18310.804197416976,Civitella del Tronto,21976.4003959276,20.018761377109342
Cortino,3377.364557708077,Cortino,4047.5342383107095,19.842977243102776
Crognaleto,7388.2318445059445,Crognaleto,7447.598001508296,0.8035232008386071
Montorio al Vomano,17252.704143603936,Montorio al Vomano,22450.36717571644,30.12665718283603
Rocca Santa Maria,2862.7144962074626,Rocca Santa Maria,3103.648849924585,8.416289994559833
Teramo,120991.99099272244,Teramo,149689.54845399698,23.71855957226183
Torricella Sicura,7411.578746412465,Torricella Sicura,7986.632748868778,7.758859780511205
Tossicia,5482.529802173022,Tossicia,6890.023680241327,25.672343404507153
Valle Castellana,9460.049456744568,Valle Castellana,9080.148284313726,-4.0158476355532216
Arrone,8913.638081693316,Arrone,10959.941101055807,22.956990183000077
Ferentillo,11511.228731037309,Ferentillo,11577.587952488688,0.5764738326540002
Montefranco,2757.483279520295,Montefranco,3318.3766214177977,20.340770370693896
Polino,3309.941600041,Polino,3560.087613122172,7.557414701155858
Bibbiena,11864.848836613368,Bibbiena,13826.196587481145,16.530743694056305
Chiusi della Verna,16484.89351424764,Chiusi della Verna,15931.15326168929,-3.359076915357457
Verghereto,1297.0425763632638,Verghereto,1125.0039781297135,-13.263912948480371
Casteldelci,1698.0649728372284,Casteldelci,1634.821568627451,-3.724439595742126
Pennabilli,1063.9283005330053,Pennabilli,994.3049962292611,-6.543984615209922
Carpegna,2102.7712945879457,Carpegna,2047.5098416289593,-2.628029643604932
Frontino,1212.8857241697417,Frontino,826.7594079939669,-31.835341820029285
Piandimeleto,10645.48298482985,Piandimeleto,10284.358766968326,-3.3922765024014243
Lunano,4574.173700799507,Lunano,5020.282805429864,9.752780148081895
Sassocorvaro,4364.258699774497,Sassocorvaro,4598.814121417799,5.3744619138966625
Urbino,56022.48299764248,Urbino,61349.5209841629,9.508750240050206
Petriano,334.8320136326363,Petriano,297.46911764705885,-11.15869882936894
Montefelcino,7125.52530494055,Montefelcino,9203.973190045248,29.169047840775843
Serrungarina,9142.861777367774,Serrungarina,10230.96253770739,11.901096033553722
Cartoceto,5509.007918204182,Cartoceto,6647.036387631975,20.65759364162915
Saltara,25565.500358753583,Saltara,27086.12686651584,5.947963022134225
Fano,1714.4337074620746,Fano,1738.21657239819,1.3872140306504974
San Costanzo,16008.2084102091,San Costanzo,17820.972850678732,11.323968266889615
Mondolfo,39664.950222939726,Mondolfo,42876.50476998492,8.096706359126674
Mare,151320.18657749076,Mare,175226.83129713425,15.798714804915301
Pieve Santo Stefano,30356.269283005335,Pieve Santo Stefano,34589.70197963801,13.945826666528893
Sestino,12437.781006560066,Sestino,11940.412518853696,-3.998852266686818
Piagge,4645.100604756048,Piagge,5435.584577677225,17.017585628001527
None,13634.967212484626,None,20376.48039215686,49.442826481456315
Montemaggiore al Metauro,9890.925494567446,Montemaggiore al Metauro,10728.886236802413,8.472015512554554
Badia Tedalda,7793.916871668717,Badia Tedalda,9326.83540723982,19.668140689867233
Isola del Piano,4477.156442189422,Isola del Piano,4416.543401206636,-1.3538289708086362
San Giorgio di Pesaro,5961.817791615415,San Giorgio di Pesaro,6611.406259426848,10.895812158583599
Senigallia,253148.14323236982,Senigallia,263785.7648567119,4.202132983680465
Belforte all'Isauro,2881.7705642681426,Belforte all'Isauro,3608.0597662141777,25.20288085913197
Trecastelli,30976.09668409184,Trecastelli,32796.94523001509,5.878237547141847
Peglio,4001.4726450389508,Peglio,4375.655015082956,9.351116532257667
Orciano di Pesaro,7657.1086254612555,Orciano di Pesaro,8920.768024132729,16.503088312859767
Fossombrone,43648.11968275932,Fossombrone,46992.703299396686,7.662606409958246
