Comune,n_imprese,tot_ricavi,tot_dipendenti,failed,failed_ricavi,failed_dipendenti
Deruta,118,68419.0,385,0.4661016949152542,0.2769990792031453,0.22337662337662337
Elice,24,89702.0,163,0.25,0.640186394952175,0.2392638036809816
Esanatoglia,35,52197.0,305,0.2857142857142857,0.2710883767266318,0.17704918032786884
Fabriano,492,1543539.0,6716,0.3678861788617886,0.07175393689437067,0.21500893388921977
Fabrica di Roma,90,170666.0,1011,0.43333333333333335,0.10764299860546331,0.2354104846686449
Fabro,39,29334.0,180,0.38461538461538464,0.05618054135133292,0.1388888888888889
Fagnano Alto,5,10652.0,81,0.6,0.0064776567780698464,0.024691358024691357
Falconara Marittima,283,455776.0,2013,0.3674911660777385,0.07333646352594257,0.1366120218579235
Faleria,15,1764.0,27,0.6666666666666666,0.3486394557823129,0.4074074074074074
Falerone,60,86832.0,438,0.18333333333333332,0.03351299060254284,0.03424657534246575
Fano,1283,1977674.0,12072,0.32034294621979736,0.08927052689169196,0.12665672630881378
Fano Adriano,4,124.0,2,0.75,1.0,1.0
Fara Filiorum Petri,34,73175.0,412,0.23529411764705882,0.03390502220703792,0.02912621359223301
Fara in Sabina,124,56228.0,487,0.5161290322580645,0.39428754357259727,0.6242299794661191
Farindola,5,1257.0,15,0.4,0.0477326968973747,0.26666666666666666
Ferentillo,12,9275.0,80,0.3333333333333333,0.042911051212938006,0.1125
Fermignano,105,228309.0,1155,0.17142857142857143,0.037221484917370755,0.023376623376623377
Fermo,564,587642.0,4014,0.3191489361702128,0.06479625350128139,0.08844045839561535
Fiastra,5,294.0,11,0.8,0.41496598639455784,0.5454545454545454
Ficulle,6,1118.0,18,0.5,0.8747763864042933,0.6111111111111112
Filetto,6,37300.0,152,0.3333333333333333,0.0015549597855227882,0.013157894736842105
Filottrano,107,192246.0,1419,0.308411214953271,0.10096959104480717,0.1529245947850599
Fiuminata,5,4789.0,26,0.2,0.00668197953643767,0.11538461538461539
Folignano,60,40019.0,148,0.4666666666666667,0.07986206551887853,0.1554054054054054
Foligno,768,1137920.0,7205,0.3489583333333333,0.1731721034870641,0.2960444136016655
Fontecchio,3,36.0,0,0.3333333333333333,0.05555555555555555,0.0
Forano,21,12594.0,93,0.3333333333333333,0.11775448626329998,0.1827956989247312
Force,9,18731.0,31,0.2222222222222222,0.009449575569910842,0.06451612903225806
Fossa,10,3287.0,25,0.4,0.041375114085792516,0.2
Fossato di Vico,44,135752.0,588,0.38636363636363635,0.26430549826153577,0.3469387755102041
Fossombrone,141,136573.0,1046,0.2765957446808511,0.08571240289076172,0.13288718929254303
Francavilla al Mare,257,177579.0,1216,0.4280155642023346,0.16645549304816448,0.24835526315789475
Francavilla d'Ete,8,48269.0,165,0.5,0.0186455074685616,0.03636363636363636
Frasso Sabino,2,96.0,13,0.0,0.0,0.0
Fratta Todina,27,12035.0,81,0.5555555555555556,0.34117158288325716,0.4074074074074074
Fratte Rosa,8,3999.0,54,0.375,0.1800450112528132,0.5555555555555556
Frisa,17,31192.0,99,0.17647058823529413,0.11470889971787637,0.0707070707070707
Frontino,3,2275.0,9,0.6666666666666666,0.9753846153846154,1.0
Frontone,15,2107.0,35,0.4666666666666667,0.15187470336971998,0.2857142857142857
Gagliole,8,4907.0,32,0.5,0.11025066231913593,0.21875
Gallese,27,56554.0,411,0.18518518518518517,0.000866428546168264,0.0170316301703163
Genga,20,30960.0,87,0.45,0.05458656330749354,0.13793103448275862
Giano dell'Umbria,44,252084.0,866,0.2727272727272727,0.02256390726900557,0.11893764434180139
Giove,11,2365.0,19,0.36363636363636365,0.773784355179704,0.47368421052631576
Giuliano Teatino,5,3805.0,10,0.0,0.0,0.0
Giulianova,450,401336.0,2320,0.41555555555555557,0.20571042717324137,0.2711206896551724
Gradoli,7,937.0,14,0.0,0.0,0.0
Graffignano,7,453.0,13,0.2857142857142857,0.4392935982339956,0.7692307692307693
Greccio,20,6258.0,44,0.65,0.16043464365612017,0.29545454545454547
Grottammare,214,247696.0,1170,0.21962616822429906,0.09540727343194884,0.10683760683760683
Grottazzolina,60,104880.0,536,0.16666666666666666,0.007818459191456904,0.013059701492537313
Grotte di Castro,29,23728.0,143,0.3103448275862069,0.01921780175320297,0.1258741258741259
Gualdo,7,3068.0,12,0.2857142857142857,0.3428943937418514,0.16666666666666666
Gualdo Cattaneo,88,86502.0,1276,0.5227272727272727,0.3181776143904187,0.2249216300940439
Gualdo Tadino,149,188579.0,1011,0.4429530201342282,0.10352160102662544,0.21463897131552917
Guardea,17,5475.0,34,0.17647058823529413,0.16036529680365297,0.058823529411764705
Guardiagrele,138,230851.0,1213,0.2971014492753623,0.029789777822058383,0.09645507007419621
Gubbio,357,906546.0,3545,0.3333333333333333,0.3483662163861514,0.32016925246826516
Isola del Gran Sasso d'Italia,32,58407.0,253,0.375,0.03263307480267776,0.13043478260869565
Isola del Piano,6,68593.0,251,0.16666666666666666,0.546134445205779,0.6852589641434262
Jesi,869,2664848.0,10541,0.31070195627157654,0.16972412685451477,0.24039464946399772
L'Aquila,1353,854860.0,7784,0.43163340724316335,0.23768921226867556,0.2421634121274409
Labro,7,1003.0,16,0.42857142857142855,0.045862412761714856,0.125
Lanciano,507,587798.0,4559,0.40828402366863903,0.17817685667525238,0.1359947356876508
Lapedona,2,1929.0,8,0.0,0.0,0.0
Leonessa,31,3972.0,80,0.5806451612903226,0.8547331319234642,0.9125
Lettomanoppello,13,2218.0,28,0.38461538461538464,0.2042380522993688,0.32142857142857145
Lisciano Niccone,10,10203.0,77,0.5,0.31010487111633833,0.38961038961038963
Loreto,148,214825.0,1481,0.3581081081081081,0.20158268357965786,0.2802160702228224
