Comune,Distance_from_epicenter
Rapino,93.83770896593316
Ripa Teatina,90.06994963644226
Giuliano Teatino,95.27290360124005
Pescara,82.92693438100721
Cepagatti,79.38239493753309
Celano,73.68628165658951
Guardiagrele,99.65224308573437
Città Sant'Angelo,69.97775072597432
Penne,59.866973097697354
L'Aquila,36.708318294444695
Francavilla al Mare,90.2036153666814
Valle Castellana,21.399091961777998
Caramanico Terme,88.50749241448439
Lanciano,109.24654601783766
Crecchio,99.95532404587644
Brittoli,66.24980759129066
Bussi sul Tirino,71.69143880684547
Cappelle sul Tavo,74.76435066991692
Popoli,76.03629800244981
Civitella Casanova,63.08682296001618
Civitaquana,68.1222658743342
Ocre,49.75045801407922
Navelli,64.75702542950961
Montebello di Bertona,59.27025280850647
Montesilvano,76.84063641448822
Bolognano,78.89645285542913
Frisa,104.41934773160398
Salle,83.27001327996005
Elice,63.42979772402402
Farindola,55.06068121929751
Lettomanoppello,84.24044428540434
San Valentino in Abruzzo Citeriore,79.5353990968431
Roccamorice,87.79232822987669
Corvara,69.33121774374754
Rosciano,76.96565954537756
Fara Filiorum Petri,90.9671072085241
Collecorvino,70.05268744270957
Manoppello,81.65632044503404
Cugnoli,71.36968494388526
Orsogna,100.38192754039716
Spoltore,78.53586614360434
Tocco da Casauria,78.03559013498007
Torre de' Passeri,74.98824589297287
Sant'Eusanio del Sangro,109.175093710777
San Vito Chietino,107.25049035940081
Casoli,106.69725305415875
Castel Frentano,106.61532472150266
Bucchianico,87.919935353477
Torricella Sicura,29.461772649150948
Fagnano Alto,56.79488750110771
Fontecchio,60.25154912006367
Fossa,48.218467664635845
Turrivalignani,79.94647504942515
Vicoli,65.96333271907021
Campotosto,18.881038346170353
Villa Celiera,60.24036469546289
Carsoli,65.25326725022279
Castelvecchio Calvisio,54.39084141363099
Castel del Monte,52.306485489389964
Miglianico,93.25712647659522
San Giovanni Teatino,83.29820337767613
San Martino sulla Marrucina,95.35916110403848
Tollo,96.30287741710337
Canosa Sannita,97.25250093821948
Ari,94.64163998779745
Arielli,99.44031476620141
