Comune,RCR FORECAST,RCR ACTUAL,OOPP,SMALL DAMAGE REQ.,GREAT DAMAGE REQ.,TOT REQ.,ACCEPTED REQ.,BUILDING STARTED,BUILIDING CONCLUDED,SMALL DAMAGE,GREAT DAMAGE,TOT. DAMAGE,N_Interventi,Eur_Interventi,N_Interventi_priv,Eur_Interventi_priv,N_Interventi_pubb,Eur_Interventi_pubb,pop_iniz_2016,DELTA FORECAST ACTUAL,DELTA G DAMAGE Interventi,P RCR
Camerino,0.3461315560707041,0.04665314401622718,0.0010141987829614604,0.04042306577803535,0.026224282816574906,0.06664734859461026,0.026658939437844104,0.026658939437844104,0.016661837148652565,0.08866995073891626,0.00025992465951898004,0.08892987539843523,0.23254129237902058,173602.3184729064,0.0825847580411475,45210.81911474934,0.007244277021153289,14786.628190379599,6902,0.29947841205447695,-0.20631700956244567,0.13478442863122644
Camporotondo di Fiastrone,0.24108658743633277,0.059422750424448216,0.003395585738539898,0.035653650254668934,0.03904923599320883,0.07470288624787776,0.030560271646859084,0.030560271646859084,0.015280135823429542,0.06281833616298811,0.17826825127334464,0.24108658743633277,0.23089983022071306,97402.44585738539,0.09168081494057725,34976.35089983022,0.015280135823429542,2451.299507640068,589,0.18166383701188454,-0.19185059422750425,0.24647887323943662
Castel di Lama,0.026446280991735537,0.011570247933884297,0.0002361275088547816,0.008618654073199528,0.0059031877213695395,0.014521841794569067,0.009799291617473435,0.009799291617473435,0.005076741440377804,0.011216056670602124,0.015348288075560802,0.026564344746162927,0.025737898465171192,14402.02941322314,0.016174734356552537,7515.418719008264,0.0009445100354191264,819.5513577331759,8470,0.01487603305785124,-0.019834710743801654,0.4375
Castelraimondo,0.1136890951276102,0.02425648597342333,0.002109259649862898,0.02130352246361527,0.01117907614427336,0.03248259860788863,0.015819447373971736,0.015819447373971736,0.011811854039232229,0.037122969837587005,0.07698797721999578,0.11411094705758279,0.09090909090909091,42841.47311959502,0.03649019194262814,13963.149736342544,0.0025311115798354778,2509.618409618224,4741,0.08943260915418688,-0.07973001476481754,0.21335807050092764
Castelsantangelo sul Nera,3.3548387096774195,0.05806451612903226,0.03870967741935484,0.01935483870967742,0.06451612903225806,0.08387096774193549,0.01935483870967742,0.01935483870967742,0.00967741935483871,0.26129032258064516,3.0935483870967744,3.3548387096774195,2.1548387096774193,1055137.9989354839,0.1967741935483871,103952.48354838708,0.11935483870967742,195425.81716129032,310,3.296774193548387,-2.0903225806451613,0.01730769230769231
Castignano,0.08856464200882253,0.012894468951476078,0.007465218866644045,0.0169664065151001,0.006107906345436036,0.02307431286053614,0.011876484560570071,0.011876484560570071,0.0067865626060400405,0.02816423481506617,0.061079063454360365,0.08924329826942654,0.07974211062097047,25213.9634306074,0.02986087546657618,8024.252656939259,0.0027146250424160165,1287.2249745503902,2947,0.07567017305734645,-0.07363420427553444,0.14559386973180077
Castorano,0.03229974160206718,0.00818260120585702,0.0008613264427217916,0.008613264427217916,0.003875968992248062,0.012489233419465978,0.007321274763135229,0.007321274763135229,0.0034453057708871662,0.012058570198105082,0.020671834625323,0.03273040482342808,0.03359173126614987,12320.888763996554,0.014211886304909561,3664.551468561585,0.0008613264427217916,990.5254091300603,2322,0.024117140396210164,-0.029715762273901807,0.25333333333333335
Cerreto d'Esi,0.045122258633728256,0.007562389715149987,0.0012603982858583312,0.014620620115956643,0.0017645576002016637,0.016385177716158307,0.004789513486261659,0.004789513486261659,0.003024955886059995,0.0216788505167633,0.023695487774136628,0.04537433829089992,0.038064028232921605,10857.79307285102,0.01739349634484497,3464.2619460549536,0.0017645576002016637,2259.4917267456517,3967,0.03755986891857827,-0.03629947063271994,0.16759776536312848
Cessapalombo,0.8095238095238095,0.0695970695970696,0.016483516483516484,0.09706959706959707,0.031135531135531136,0.1282051282051282,0.04212454212454213,0.04212454212454213,0.02564102564102564,0.22893772893772893,0.5842490842490843,0.8131868131868132,0.44505494505494503,160101.1408058608,0.1391941391941392,30274.437765567764,0.007326007326007326,8588.906593406593,546,0.73992673992674,-0.4139194139194139,0.08597285067873303
Cingoli,0.06156627652488343,0.011133314302026834,0.004948139689789704,0.012941288419449996,0.005328765819773528,0.018270054239223524,0.0078028356646683795,0.0078028356646683795,0.003996574364830145,0.025121324578932343,0.03692073460843087,0.06204205918736321,0.04795889237796175,19496.144606527738,0.0211247502141022,6071.204911980208,0.0008564087924636027,2792.7050385383955,10509,0.0504329622228566,-0.04263012655818822,0.18083462132921174
