Comune,Cratere Centro Italia 2016,Variaz
Isola del Gran Sasso d'Italia,0,0.5869291108733261
Isola del Piano,0,-11.575186478940426
Jesi,0,-7.098202801259856
L'Aquila,0,-3.394028443733146
Labro,0,271.29285302052654
Lanciano,0,-6.313208271168655
Lapedona,0,-14.125895932146168
Latera,0,-0.7351328940753085
Leonessa,1,-18.207650515391236
Lettomanoppello,0,-2.71718367254151
Lisciano Niccone,0,-6.844335660919112
Longone Sabino,0,-23.52533797708601
Loreto,0,-1.4891186174477504
Loreto Aprutino,0,-1.2899983271013973
Loro Piceno,1,-0.6287899738376165
Lubriano,0,-6.50607565607041
Lucoli,0,-21.97712446453076
Lugnano in Teverina,0,34.9876536705239
Lunano,0,6.861611828108338
Macerata,1,5.293651013839058
Magione,0,-2.7505019022364565
Magliano Romano,0,3.9662877901973497
Magliano Sabina,0,-0.5867804652458566
Magliano de' Marsi,0,3.6785906749658785
Magliano di Tenna,0,-2.8003029816827936
Maiolati Spontini,0,-6.98632886579908
Maltignano,1,5.411534934748395
Manoppello,0,-7.866559456848714
Manziana,0,-13.489513879470245
Marcetelli,0,-57.19998697141273
Marciano della Chiana,0,-8.677811653624802
Mare,0,-6.089832878269569
Marsciano,0,0.09369665255210578
Marta,0,-5.971623529272608
Martinsicuro,0,-9.406463311319575
Massa Fermana,1,-5.576925591112958
Massa Martana,0,-12.17997987803741
Massa d'Albe,0,-14.805822646548144
Massignano,0,-12.586188521006159
Matelica,1,1.8772148759365992
Mazzano Romano,0,-6.630420409870282
Mercatello sul Metauro,0,-4.759015541199984
Mergo,0,-9.459996294710146
Micigliano,1,4.943549670102221
Miglianico,0,-7.195214203895479
Mogliano,1,6.907181195025679
Molina Aterno,0,-15.837498387102968
Mompeo,0,-6.402152774791514
Mondavio,0,2.8289452847615473
Mondolfo,0,-18.633390680680655
Monsampietro Morico,1,-2.4806011575689886
Monsampolo del Tronto,0,14.633969170493263
Monsano,0,-12.233501087035638
Montalto delle Marche,1,-5.907290737913013
Montappone,1,-10.460785166691899
Montasola,0,-19.7208953298982
Monte Castello di Vibio,0,-7.4216288379150885
Monte Cavallo,1,-19.505990063569254
Monte Giberto,0,134.91583536145998
Monte Porzio,0,-3.950709784097761
Monte Rinaldo,1,-6.7196821717389295
Monte Roberto,0,-12.231530053838151
Monte Romano,0,18.87178113602017
Monte San Giovanni in Sabina,0,-9.928591629354958
Monte San Giusto,0,4.994220306339458
Monte San Martino,1,-29.744150307460572
Monte San Pietrangeli,0,-1.3866839323350457
Monte San Vito,0,3.9890935840942
Monte Santa Maria Tiberina,0,-9.64738078911354
Monte Urano,0,8.265402494956438
Monte Vidon Combatte,0,7.610558300905239
Monte Vidon Corrado,1,-8.847996534916703
Montebello di Bertona,0,7.623400968759494
Montebuono,0,-9.767662301173822
Montecarotto,0,-16.38282158005378
Montecassiano,0,-8.352105403061643
Montecastrilli,0,-2.763165904655141
Montecchio,0,-12.414922477059177
Montecosaro,0,5.10068804338732
Montedinove,1,-15.605104343805953
Montefalco,0,-13.682860565886818
Montefalcone Appennino,1,-25.091519767151226
Montefano,0,-8.588587283420733
Montefelcino,0,9.475164545695176
Montefiascone,0,-2.452325099726062
Montefino,0,21.053270508285244
Montefiore dell'Aso,0,-0.4811847747660565
Montefortino,1,-18.527121985460568
Montefranco,1,-2.8318037047599365
Montegabbione,0,3.271487603984321
Montegallo,1,-28.431755223969436
Montegiorgio,1,-0.26336999401151945
Montegranaro,0,-6.364562901903084
Monteleone Sabino,0,-20.73410690829854
Monteleone d'Orvieto,0,-6.855553908547438
Monteleone di Fermo,1,-6.147005350689532
Monteleone di Spoleto,1,-19.262046046513507
Montelibretti,0,1.523781700374176
Montelparo,1,-10.980531539437175
Montelupone,0,17.127896390379117
Montemaggiore al Metauro,0,-7.6090325613626515
Montemarciano,0,1.4395238456317194
Montemonaco,1,-13.223635115543667
Montenero Sabino,0,-16.941513347270376
Monteprandone,0,-1.874774016871072
Montepulciano,0,-0.00626178132507884
Monterchi,0,9.45514391248178
Montereale,1,-3.9880802182737733
Monterosi,0,54.96194949813068
Monterubbiano,0,-7.669519543682078
Montesilvano,0,-5.347150879272062
Montone,0,-20.640651350450977
Montopoli di Sabina,0,-2.062492452509445
Montorio Romano,0,-44.9105505474544
Montorio al Vomano,1,-10.38620642942554
Montottone,0,43.50882690943833
Moresco,0,-6.352173378929771
Morlupo,0,21.397712441659987
Morro Reatino,0,10.461538322260981
Morro d'Alba,0,4.728370399127062
Morro d'Oro,0,6.671874040107969
Morrovalle,0,-2.5347561262342975
Mosciano Sant'Angelo,0,3.9639341113372564
Moscufo,0,-2.2004074640873124
Muccia,1,-26.943613058624965
Narni,0,-1.4463750464561398
Navelli,0,-3.6835774873542464
Nazzano,0,18.063301279386465
Nepi,0,29.48003417577827
Nereto,0,12.584093257415457
Nerola,0,-37.75881322023212
Nespolo,0,-8.308949164940437
Nocciano,0,19.9134189540203
Nocera Umbra,0,-15.343096985894794
None,0,23.218903864072146
Norcia,1,-30.292842771512092
Notaresco,0,-4.0548909162294136
Numana,0,-19.90225552716984
Ocre,0,8.397496997722687
Ofena,0,-6.9098385678488015
Offagna,0,8.776144302941749
Offida,1,4.54176512185386
Onano,0,-9.211749558580182
Orciano di Pesaro,0,-4.108670971268322
Oriolo Romano,0,9.609851426519988
Orsogna,0,2.829601621840904
Orte,0,4.007649265171532
Ortezzano,1,-9.715426334517717
Ortona,0,2.1353032148434226
Orvieto,0,-2.3599701876325327
Orvinio,0,-46.65538804727005
Osimo,0,-1.2204429608970508
Ostra,0,-6.065017369795746
Ostra Vetere,0,-3.823056122210548
Otricoli,0,98.72875551548196
Ovindoli,0,-23.296592972930455
Paciano,0,-16.421048613648864
Paganico Sabino,0,-4.465536552862974
Palmiano,1,-16.287737905256346
Panicale,0,8.017353379896573
Parrano,0,18.341346471633774
Passignano sul Trasimeno,0,6.180612900436184
Pedaso,0,-2.8146899984370806
Peglio,0,-8.577673367948115
Penna San Giovanni,1,-17.472440845761078
Penna Sant'Andrea,0,6.308796331865726
Penna in Teverina,0,-0.36160979534021725
Pennabilli,0,-9.539275516487823
Pennapiedimonte,0,-13.37204451079822
Penne,0,-12.28261675984738
Pergola,0,-7.058207966098089
Perugia,0,-1.0363379787914857
Pescara,0,-5.69203396289985
Pescorocchiano,0,-41.64387484087457
Pescosansonesco,0,-4.600053992114225
Petrella Salto,0,-21.021872090029845
Petriano,0,4.661716986365675
Petriolo,1,-4.117143213841366
Petritoli,0,17.825899236602524
Piagge,0,-14.932634359603094
Piandimeleto,0,7.859413451100012
Pianella,0,2.319066450998255
Piansano,0,2.282574559075801
Picciano,0,-2.360769724064069
Piegaro,0,-7.689706542901795
Pietracamela,0,-24.555783283093078
Pietralunga,0,-0.2084064964090059
Pietranico,0,-3.170558580447322
Pieve Santo Stefano,0,-4.513666851691857
Pieve Torina,1,-32.79447889280719
Pievebovigliana,1,-32.60386960938778
Pineto,0,-7.719492017315193
Piobbico,0,-4.136532698849528
Pioraco,1,-5.195163646197452
Pizzoli,0,-7.34765411012049
Poggio Bustone,1,-11.582040544265306
Poggio Catino,0,-1.989149388195052
Poggio Mirteto,0,6.150074450865501
Poggio Moiano,0,-18.46975672490527
Poggio Nativo,0,16.456598909123795
Poggio Picenze,0,-3.6382437905504736
Poggio San Lorenzo,0,-12.735374220429774
Poggio San Marcello,0,44.06168086719561
Poggio San Vicino,1,-19.447499414504584
Poggiodomo,1,-29.963672925057484
Poggiofiorito,0,-10.630044308551021
Polino,1,-5.594068149382734
Pollenza,1,40.95766674327533
Polverigi,0,12.779731767335864
Ponzano Romano,0,19.33750063906551
Ponzano di Fermo,0,1.919546277006089
Popoli,0,6.213987450769615
Porano,0,-0.4081229970842328
Porto Recanati,0,-18.724978242379013
Porto San Giorgio,0,-11.226127643615017
Porto Sant'Elpidio,0,-5.736020165306706
Posta,1,-40.826169040906855
Potenza Picena,0,-4.59078275073966
Pozzaglia Sabina,0,-22.91015266365333
Prata d'Ansidonia,0,-2.462209362891931
Preci,1,-40.72256447963531
Pretoro,0,-11.57236382298061
Proceno,0,8.142127552660797
Radicofani,0,27.718419376143533
Rapagnano,0,17.344588823381237
Rapino,0,-9.469302163496945
Recanati,0,-5.1948302907313675
Rieti,1,6.100017572793127
Rignano Flaminio,0,20.439839037149785
Ripa Teatina,0,4.644696715689764
Ripatransone,0,-4.001371924322125
Ripe San Ginesio,1,2.161105198839987
Rivodutri,1,-12.874441040420054
Rocca Santa Maria,1,-20.114387949323326
Rocca Sinibalda,0,-12.95152013251405
Rocca di Cambio,0,0.8776365643864614
Rocca di Mezzo,0,-1.5751134531086588
Roccacasale,0,-20.412911787889225
Roccafluvione,1,-15.282456349298348
Roccamontepiano,0,-9.902539987999983
Roccamorice,0,-12.535464978137165
Roccantica,0,-5.879385218751683
Ronciglione,0,-15.569093329642536
Rosciano,0,14.688580919920158
Roseto degli Abruzzi,0,1.5620467228916266
Rosora,0,-9.672830176800725
Rotella,1,24.893810182274827
Salisano,0,-25.9915371845318
Salle,0,-16.27147554836662
Saltara,0,-10.742817562489632
San Benedetto del Tronto,0,-8.17959163232985
San Benedetto in Perillis,0,-19.896209347488846
San Casciano dei Bagni,0,-2.682778086672904
San Costanzo,0,-9.542851607533292
San Demetrio ne' Vestini,0,-13.920377548585517
San Gemini,0,6.141570553963942
San Ginesio,1,-4.067107803981517
San Giorgio di Pesaro,0,-13.403095003651014
