Comune,Cratere Centro Italia 2016,Variaz
Fermo,0,-0.3630540216500877
Fiamignano,0,38.47910721792813
Fiano Romano,0,20.02455885030888
Fiastra,1,-15.353324745298597
Ficulle,0,12.707471157092169
Filacciano,0,-0.24460254357252975
Filetto,0,2.710675835187312
Filottrano,0,18.14302761257965
Fiordimonte,1,-34.04246790315631
Fiuminata,1,3.974561717032063
Foiano della Chiana,0,-26.606020733899772
Folignano,1,12.787996387754518
Foligno,0,4.093894859001679
Fontecchio,0,-0.5307023774050494
Forano,0,-1.6596457790021173
Force,1,-11.641492804326502
Fossa,0,-6.667614376216245
Fossato di Vico,0,5.8544795970852395
Fossombrone,0,-1.7450087252982096
Francavilla al Mare,0,10.835409517311458
Francavilla d'Ete,0,7.177060223662488
Frasso Sabino,0,-12.099226018146599
Fratta Todina,0,0.9596725891594949
Fratte Rosa,0,-0.552529237829762
Frisa,0,11.16688160910429
Frontino,0,-6.470011982564852
Frontone,0,-0.2915413477706572
Gagliole,1,7.6536640735905035
Gallese,0,-1.4887402939261811
Genga,0,1.938561081795293
Giano dell'Umbria,0,1.3412821676953393
Giove,0,15.02337885227592
Giuliano Teatino,0,14.597292359869407
Giulianova,0,32.9188567479718
Gradoli,0,23.44514966139466
Graffignano,0,-8.424211034279642
Greccio,0,-7.048797822365521
Grottammare,0,6.816656530360459
Grottazzolina,0,4.617960250196906
Grotte di Castro,0,9.54111491241537
Gualdo,1,-3.307036035915449
Gualdo Cattaneo,0,-1.0355624816534146
Gualdo Tadino,0,2.338492611122347
Guardea,0,44.7348200595132
Guardiagrele,0,5.882343089775468
Gubbio,0,0.4552266886797124
Isola del Gran Sasso d'Italia,0,-1.9600912293927149
Isola del Piano,0,-6.651597633211834
Jesi,0,2.87248347579913
L'Aquila,0,3.283180239099315
Labro,0,81.28716968609643
Lanciano,0,4.718904221893709
Lapedona,0,3.223604805562972
Latera,0,10.760784117639696
Leonessa,1,2.186809327713957
Lettomanoppello,0,3.0635801789705237
Lisciano Niccone,0,-3.1392896082702113
Longone Sabino,0,-8.89124090520213
Loreto,0,5.177471992186811
Loreto Aprutino,0,10.491027104462553
Loro Piceno,1,4.930370987867817
Lubriano,0,7.366605972900775
Lucoli,0,-8.079441558515303
Lugnano in Teverina,0,36.08568958355332
Lunano,0,0.8743789354307714
Macerata,1,15.753040827557813
Magione,0,-0.2688648374368922
Magliano Romano,0,11.510935972874794
Magliano Sabina,0,3.873554416451926
Magliano de' Marsi,0,1.5985407527626319
Magliano di Tenna,0,2.6022173897955385
Maiolati Spontini,0,0.47224959970023694
Maltignano,1,7.407561842902368
Manoppello,0,7.392642468223536
Manziana,0,-4.217608308064859
Marcetelli,0,-27.596694684816896
Marciano della Chiana,0,-1.3394324754184952
Mare,0,3.316894178383146
Marsciano,0,1.1667272981912569
Marta,0,13.176673467381118
Martinsicuro,0,12.013856723586047
Massa Fermana,1,4.765276707757471
Massa Martana,0,-0.724894460809617
Massa d'Albe,0,-3.003734936730957
Massignano,0,-4.847060593084415
Matelica,1,17.614066691093562
Mazzano Romano,0,0.002242923359140749
Mercatello sul Metauro,0,9.590764171774687
Mergo,0,-0.7170688193159822
Micigliano,1,12.944132157650396
Miglianico,0,10.271196007652716
Mogliano,1,4.097213952765532
Molina Aterno,0,-1.5621997043367377
Mompeo,0,19.137799646598573
Mondavio,0,4.103685333654319
Mondolfo,0,0.24646306354518746
Monsampietro Morico,1,-2.8380438037753803
Monsampolo del Tronto,0,18.31632249852837
Monsano,0,1.4250640811389805
Montalto delle Marche,1,-5.55617044421695
Montappone,1,11.008745474905545
Montasola,0,1.2619914704186488
Monte Castello di Vibio,0,-1.031568564764843
Monte Cavallo,1,-16.938637946403095
Monte Giberto,0,55.27734200138882
Monte Porzio,0,2.5724324672567107
Monte Rinaldo,1,-9.459431690722203
Monte Roberto,0,-3.9617322939135806
Monte Romano,0,11.555851298693423
Monte San Giovanni in Sabina,0,-8.053258983148904
Monte San Giusto,0,17.335639818458063
Monte San Martino,1,-20.199847948350072
Monte San Pietrangeli,0,1.8302600301883096
Monte San Vito,0,8.632399489030709
Monte Santa Maria Tiberina,0,-4.685979442590181
Monte Urano,0,14.389027851029812
Monte Vidon Combatte,0,-6.969746539505368
Monte Vidon Corrado,1,-5.04364307964247
Montebello di Bertona,0,-5.780439125257128
Montebuono,0,0.48283918454383506
Montecarotto,0,-6.59209885539829
Montecassiano,0,-1.5803294810231232
Montecastrilli,0,5.418586861225777
Montecchio,0,-5.006872638124299
Montecosaro,0,11.768472378516314
Montedinove,1,-9.135337310155055
Montefalco,0,-10.59376577415572
Montefalcone Appennino,1,-15.674535079840982
Montefano,0,-1.8083524979625916
Montefelcino,0,13.52387738700562
Montefiascone,0,8.518249300341195
Montefino,0,9.742077473732857
Montefiore dell'Aso,0,2.2361844284918355
Montefortino,1,-8.091735913963358
Montefranco,1,9.880046356095491
Montegabbione,0,11.96743809426672
Montegallo,1,-11.393378914916049
Montegiorgio,1,0.058404522770377915
Montegranaro,0,8.160809953736752
Monteleone Sabino,0,-17.28224740339229
Monteleone d'Orvieto,0,8.08112352215103
Monteleone di Fermo,1,-3.9161260496286454
Monteleone di Spoleto,1,-8.298845043291205
Montelibretti,0,7.976222050934378
Montelparo,1,-9.727952247972167
Montelupone,0,11.121254058162666
Montemaggiore al Metauro,0,0.37942321109466276
Montemarciano,0,2.933591261537054
Montemonaco,1,0.7976864589191967
Montenero Sabino,0,-7.5894956774836935
Monteprandone,0,2.6622217845274694
Montepulciano,0,0.47994776113036386
Monterchi,0,6.9198519842629524
Montereale,1,16.1239385573349
Monterosi,0,58.265121900940976
Monterubbiano,0,-2.847296512740625
Montesilvano,0,7.919467536265764
Montone,0,-15.424304252488156
Montopoli di Sabina,0,3.5264888544332607
Montorio Romano,0,-17.9765170556896
Montorio al Vomano,1,9.362684889698269
Montottone,0,4.871986871034278
Moresco,0,4.126309112253343
Morlupo,0,11.625647471359702
Morro Reatino,0,16.668840167994944
Morro d'Alba,0,-2.7276005372148497
Morro d'Oro,0,3.97498706697098
Morrovalle,0,5.762006627631681
Mosciano Sant'Angelo,0,49.45708869715711
Moscufo,0,6.028563676489682
Muccia,1,-24.11669150252401
Narni,0,1.1398040712192008
Navelli,0,10.966239612345065
Nazzano,0,8.211231130902418
Nepi,0,23.66367613476115
Nereto,0,27.072678930097215
Nerola,0,-23.556308052785916
Nespolo,0,-8.798812111715643
Nocciano,0,17.018213025121884
Nocera Umbra,0,-5.7685147690042555
