Comune,CRATER,PHONE_BEFORE,PHONE_AFTER,PCGH,MPE,MPE_INIT,MPE_END,DISTANCE FROM EPICENTER,AGRICOLTURE,OTHER SERV,PUBLIC ADMIN,REAL ESTATE,ENTERTAINMENT,HOSPITALITY,FINANCE,MANUFACTURING,TECH SERVICES,WHOLE/RETAIL SALES,CONSTRUCTIONS,MINING,WASTE MGMT,UTILITIES,EDUCATION,BUSINESS SUPPORT SERVICES,EXTRA,HEALTHCARE,COMMUNICATION AND INFORMATION SERV.,LOGISTICS,ABRUZZO,LAZIO,MARCHE,UMBRIA,ALT_MIN,ALT_MEAN,ALT_MED
Monte Romano,0.0,2333.4685692248363,2476.834448462929,0.0614389587795983,16.95386561884023,0.0750371242018524,22.254158213162107,112.31110625825544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,32,168.8171,157
Monte San Giovanni in Sabina,0.0,1289.9133050520634,1210.0299954792044,-0.0619292081568495,-8.088463456508595,-0.8030221320372295,-10.376238980190724,57.19872019723171,0.0990853658536585,0.0,0.0,0.0,0.0,0.1341463414634146,0.0,0.0,0.0,0.1128048780487804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0899390243902439,0.0,0.5640243902439024,0,1,0,0,421,728.9438,696
Monte San Giusto,0.0,5693.5,7554.411991410488,0.3268485099517849,6.620441824458514,4.882775158995329,7.1661042062571205,51.46441680086884,3.0046948356807516e-05,0.0,0.0,0.0035305164319248,0.0,0.0086835680751173,0.0,0.6965859154929578,0.0171868544600939,0.215218779342723,0.0315342723004694,0.0,0.0,0.0033352112676056,9.014084507042254e-05,0.0161802816901408,0.0,0.0066478873239436,0.0009765258215962,0.0,0,0,1,0,47,127.27,124
Monte San Martino,1.0,1245.8052448900887,1110.497943037975,-0.1086103164255433,-30.675977011298915,-1.7703094388794016,-39.752939658125534,25.99450498511905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7040542449498517,0.0,0.0,0.0493007486933182,0.0,0.0,0.0364458256815934,0.0,0.0,0.0,0.0115835569995762,0.0,0.1986156236756604,0,0,1,0,221,393.2173,384
Monte San Pietrangeli,0.0,4721.914953721558,5183.439534358047,0.0977409769468085,-0.9994999195112366,2.958953519851468,-2.242534141719652,47.49522877319652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9529604612745004,0.0,0.0456427036094474,0.0007207414069127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006760937091393,0,0,1,0,49,135.3023,129
Monte San Vito,0.0,7168.919832240648,8169.777667269439,0.1396106887020345,6.21589797057185,3.760719609251383,6.986873497124507,80.91161728061681,0.0,0.0,0.0,0.1587688278665748,4.56779173914864e-05,0.0031670022724763,0.0,0.700558412540111,0.0047809553536422,0.0370219520457997,0.0212859095044326,0.0,0.0,0.0001408402452904,0.0,0.0001141947934787,0.0,0.0,0.0734653171379739,0.0006509103228286,0,0,1,0,23,79.27235,73
Monte Santa Maria Tiberina,0.0,4344.96552256074,4401.686900994576,0.0130545059884402,-8.751458384604613,-3.151821153975116,-10.50985742004845,104.97887795084092,0.0,0.0,0.0,0.0,0.0,0.0258852258852258,0.0,0.0,0.0,0.7533577533577533,0.0,0.0,0.0,0.0,0.1401709401709401,0.0,0.0,0.0,0.0,0.0805860805860805,0,0,0,1,290,562.8669,525
Monte Urano,0.0,6304.372204010799,7366.031792495479,0.1684005249260599,9.059952575220445,6.137949010389487,9.977520631568366,53.3322677645819,0.0,0.0,0.0,0.0215148371800096,0.0,0.0063720223761716,0.0,0.5075760382321343,0.0116002296891786,0.2949885155410662,0.0660680546808431,0.0,0.0,0.0739682510280443,0.0,0.0025284332975215,0.0,0.0,0.0,0.0153836179750305,0,0,1,0,43,105.3715,94
Monte Vidon Combatte,0.0,1113.395622830698,988.6676989150092,-0.1120248017488882,6.08862564148821,-3.3771042601351087,9.061055754950322,40.87730529038008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1138709677419354,0.0,0.8861290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,106,229.4267,222
Monte Vidon Corrado,1.0,818.6958927882762,826.7538539783002,0.0098424350983129,-4.3825081441346185,10.35417937571839,-9.010125265259084,36.5573296653892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6959757789832219,0.0,0.04213447710357,0.261889743913208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,171,306.1096,310
Montebello di Bertona,0.0,1154.719321249518,1087.0285714285717,-0.0586209553917385,15.023435822382137,14.643687249099711,15.142684533944866,59.27025280850647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0895583986793231,0.1312422616591003,0.0,0.7465951300041271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0326042096574494,0.0,1,0,0,0,274,601.7763,544
Montebuono,0.0,1231.150645969919,1363.4494122965643,0.1074594459741508,-7.373730882766591,0.875321338999817,-9.964099664290236,64.13502793158857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3734290843806104,0.0,0.0,0.0,0.0,0.0,0.0,0.6265709156193896,0.0,0.0,0,1,0,0,75,282.1972,240
Montecarotto,0.0,2384.4935210181256,2649.881860307414,0.1112975719791319,-15.618585350432548,0.2910410422465573,-20.6145289358734,74.19155013583526,0.0047814207650273,0.0,0.0,0.0027322404371584,0.0,0.0,0.0,0.9015839610101906,0.0,0.0909023777876237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,71,190.6051,166
Montecassiano,0.0,10597.515349016585,11670.99825949367,0.1012957165074267,-6.22672065840368,-9.543951049388554,-5.1850434068940965,57.64416446575771,0.0001180075271944,0.0,0.0,0.0039026775065009,0.0,0.0018923349896532,0.0,0.4555807023976601,0.0043704930607359,0.4744366194215102,0.0230283260210812,0.0,0.0,0.0,0.0006448268450266,7.586198176783706e-05,0.0,0.0065536323138325,0.0032114905615051,0.0261850273735317,0,0,1,0,48,141.6444,132
Montecastrilli,0.0,6891.7948900887,7796.263596292947,0.1312384829538371,-3.082734165306318,-0.2730715952228346,-3.965024883378801,55.30482513847514,0.0724389956383354,0.0,0.0,0.0021022437030924,0.0,0.0069157923690518,0.0,0.2610515147942944,0.0106683956147589,0.3386970018468309,0.0472120712012259,0.0,0.11680223191481,0.0,0.0030846005736964,0.0502966717749223,0.0,0.0842272780855829,0.0065032024833981,0.0,0,0,0,1,169,348.0755,357
