Comune,AGRICOLTURE,OTHER SERV,PUBLIC ADMIN,REAL ESTATE,ENTERTAINMENT,HOSPITALITY,FINANCE,MANUFACTURING,TECH SERVICES,WHOLE/RETAIL SALES,CONSTRUCTIONS,MINING,WASTE MGMT,UTILITIES,EDUCATION,BUSINESS SUPPORT SERVICES,EXTRA,HEALTHCARE,COMMUNICATION AND INFORMATION SERV.,LOGISTICS
Alba Adriatica,0.07532716724879701,0.008019907358827145,0.0,0.022867978833440765,0.0040399346415026455,0.09880226056454151,0.004999325428352996,0.19181819544589185,0.0051642207198428994,0.4174923923308699,0.11271342697387159,0.0,0.006161087709304592,0.028039694793805935,0.0,0.008424650347029636,0.0,0.005936230493636541,0.009196660120823277,0.0009968669894616917
Allerona,0.24305555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7569444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altidona,0.0027888482056910497,0.0,0.0,0.013881267036713838,0.0,0.03384402241874106,0.0036974729436742627,0.7053446926419389,0.0013044612575006521,0.14304092409834737,0.06761607456120622,0.0,0.0,0.011686173610298946,0.0,0.005883570085554666,0.0,0.010912493140333043,0.0,0.0
Alviano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8494508438253415,0.0,0.15054915617465844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amandola,0.006760411032990805,0.0,0.0,0.0014679749671637177,0.006760411032990805,0.0,0.0,0.3611218419222746,0.0009657730047129723,0.5044811867418681,0.024105694197635787,0.0,0.0,0.0,0.0005794638028277833,0.051688171212238274,0.0,0.0,0.042069072085297074,0.0
Amatrice,0.019119734973970657,0.0,0.0,0.0,0.0,0.012115475627070516,0.0,0.04353999053478467,0.0,0.6944628490298155,0.2285849503076195,0.0,0.0,0.0,0.0,0.002176999526739233,0.0,0.0,0.0,0.0
Amelia,0.011522262758300114,0.0,0.0,0.0015776203287648078,0.0,0.00462017381995408,0.0,0.10036200752186836,0.04208865662811827,0.6964066879833223,0.039679968447593424,0.0,0.04076458242361923,0.003605989322890989,0.0002112884368881439,0.0001549448537179722,0.0,0.026481484089980703,0.02217119997746257,0.010353133407519052
Ancarano,0.0,0.0,0.0,0.003300197341749674,0.0,0.001598166631486898,0.0,0.5326719536833218,0.00044225994833599694,0.32999293054173495,0.09330009682812505,0.0,0.021241879336744096,8.041089969745399e-05,0.00012396680370024157,0.008808343971025272,0.0,0.0,1.3401816616242332e-05,0.008426392197462365
Ancona,0.007494112949505141,0.0,0.0,0.007046569707096366,0.0007454536139455667,0.010416291116171763,0.33750968073170473,0.12586564106706669,0.029141814824442964,0.2663562688176211,0.02850885693769282,2.4396663729127637e-06,0.025877541217485686,0.037385176424473754,0.0021333527060914946,0.014020762645129654,0.0,0.042939483533471816,0.014887386355596555,0.04966916768613096
Antrodoco,0.0,0.0,0.0,0.010977210356759337,0.0,0.017778308077795013,0.0,0.35866841665672355,0.0,0.09366424054408781,0.48860517837966827,0.0,0.0,0.0,0.0,0.027920295907409617,0.0,0.0023863500775563773,0.0,0.0
Apecchio,0.0008805723720418272,0.0,0.0,0.0006604292790313704,0.0,0.023665382498624106,0.0,0.8877270225646671,0.007925151348376444,0.009246009906439185,0.06747385800770501,0.0,0.0,0.0,0.0,0.0024215740231150248,0.0,0.0,0.0,0.0
Apiro,0.044008231755580184,0.0,0.0,0.001171442140256451,0.0,0.0,0.0,0.7219249643818269,0.0,0.00797847079309799,0.17739433275288902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04752255817634953
Appignano,0.0015036765718377352,0.0,0.0,0.009132218886838699,0.0,0.0011291344220759549,0.000705020517198645,0.8845969540910468,0.0019222825039244306,0.07383437525818623,0.01166588637052133,0.0,0.0,0.0,0.0,0.004411886205282146,0.0,0.0,0.0003525102585993225,0.010746054914488722
